"language"	"project"	"country"	"pageviews_percentage"
"Finnish"	"fi.wikiquote.org"	"China"	0.01
"Finnish"	"fi.wikiquote.org"	"Finland"	0.73
"Finnish"	"fi.wikiquote.org"	"France"	0.01
"Finnish"	"fi.wikiquote.org"	"Germany"	0.01
"Finnish"	"fi.wikiquote.org"	"Ireland"	0.01
"Finnish"	"fi.wikiquote.org"	"Russia"	0.01
"Finnish"	"fi.wikiquote.org"	"Sweden"	0.01
"Finnish"	"fi.wikiquote.org"	"United States"	0.05
"Finnish"	"fi.wikiquote.org"	"Vietnam"	0.12
"Finnish"	"fi.wikiquote.org"	"Other"	0.03
"Finnish"	"fi.wikisource.org"	"Canada"	0.02
"Finnish"	"fi.wikisource.org"	"China"	0.06
"Finnish"	"fi.wikisource.org"	"Finland"	0.6
"Finnish"	"fi.wikisource.org"	"France"	0.02
"Finnish"	"fi.wikisource.org"	"Germany"	0.09
"Finnish"	"fi.wikisource.org"	"Ireland"	0.01
"Finnish"	"fi.wikisource.org"	"Russia"	0.01
"Finnish"	"fi.wikisource.org"	"Sweden"	0.01
"Finnish"	"fi.wikisource.org"	"United States"	0.13
"Finnish"	"fi.wikisource.org"	"Other"	0.04
"Finnish"	"fi.wikiversity.org"	"Canada"	0.08
"Finnish"	"fi.wikiversity.org"	"China"	0.01
"Finnish"	"fi.wikiversity.org"	"Finland"	0.22
"Finnish"	"fi.wikiversity.org"	"France"	0.04
"Finnish"	"fi.wikiversity.org"	"Germany"	0.02
"Finnish"	"fi.wikiversity.org"	"Ireland"	0.06
"Finnish"	"fi.wikiversity.org"	"Luxembourg"	0.01
"Finnish"	"fi.wikiversity.org"	"Poland"	0.01
"Finnish"	"fi.wikiversity.org"	"Russia"	0.02
"Finnish"	"fi.wikiversity.org"	"Sweden"	0.01
"Finnish"	"fi.wikiversity.org"	"Ukraine"	0.01
"Finnish"	"fi.wikiversity.org"	"United States"	0.31
"Finnish"	"fi.wikiversity.org"	"Vietnam"	0.18
"Finnish"	"fi.wikiversity.org"	"Other"	0.04
"Finnish"	"fi.wiktionary.org"	"Austria"	0.01
"Finnish"	"fi.wiktionary.org"	"China"	0.02
"Finnish"	"fi.wiktionary.org"	"Finland"	0.72
"Finnish"	"fi.wiktionary.org"	"France"	0.01
"Finnish"	"fi.wiktionary.org"	"Germany"	0.01
"Finnish"	"fi.wiktionary.org"	"Ireland"	0.01
"Finnish"	"fi.wiktionary.org"	"Netherlands"	0.01
"Finnish"	"fi.wiktionary.org"	"Poland"	0.01
"Finnish"	"fi.wiktionary.org"	"Republic of Korea"	0.01
"Finnish"	"fi.wiktionary.org"	"Russia"	0.01
"Finnish"	"fi.wiktionary.org"	"Singapore"	0.01
"Finnish"	"fi.wiktionary.org"	"Sweden"	0.01
"Finnish"	"fi.wiktionary.org"	"United States"	0.12
"Finnish"	"fi.wiktionary.org"	"Other"	0.05
"Võro"	"fiu-vro.wikipedia.org"	"Canada"	0.03
"Võro"	"fiu-vro.wikipedia.org"	"China"	0.05
"Võro"	"fiu-vro.wikipedia.org"	"Estonia"	0.03
"Võro"	"fiu-vro.wikipedia.org"	"France"	0.03
"Võro"	"fiu-vro.wikipedia.org"	"Germany"	0.05
"Võro"	"fiu-vro.wikipedia.org"	"Italy"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"Mexico"	0.03
"Võro"	"fiu-vro.wikipedia.org"	"Netherlands"	0.05
"Võro"	"fiu-vro.wikipedia.org"	"Poland"	0.04
"Võro"	"fiu-vro.wikipedia.org"	"Republic of Korea"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"Republic of Lithuania"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"Romania"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"Russia"	0.03
"Võro"	"fiu-vro.wikipedia.org"	"Singapore"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"Spain"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"Sweden"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"Ukraine"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"United Kingdom"	0.01
"Võro"	"fiu-vro.wikipedia.org"	"United States"	0.5
"Võro"	"fiu-vro.wikipedia.org"	"Other"	0.08
"Fijian"	"fj.wikipedia.org"	"Australia"	0.01
"Fijian"	"fj.wikipedia.org"	"Brazil"	0.01
"Fijian"	"fj.wikipedia.org"	"Canada"	0.07
"Fijian"	"fj.wikipedia.org"	"China"	0.08
"Fijian"	"fj.wikipedia.org"	"Czech Republic"	0.01
"Fijian"	"fj.wikipedia.org"	"Fiji"	0.01
"Fijian"	"fj.wikipedia.org"	"France"	0.04
"Fijian"	"fj.wikipedia.org"	"Germany"	0.03
"Fijian"	"fj.wikipedia.org"	"India"	0.01
"Fijian"	"fj.wikipedia.org"	"Italy"	0.01
"Fijian"	"fj.wikipedia.org"	"Mexico"	0.01
"Fijian"	"fj.wikipedia.org"	"Netherlands"	0.01
"Fijian"	"fj.wikipedia.org"	"Pakistan"	0.01
"Fijian"	"fj.wikipedia.org"	"Poland"	0.02
"Fijian"	"fj.wikipedia.org"	"Romania"	0.02
"Fijian"	"fj.wikipedia.org"	"Russia"	0.02
"Fijian"	"fj.wikipedia.org"	"Seychelles"	0.01
"Fijian"	"fj.wikipedia.org"	"Sweden"	0.01
"Fijian"	"fj.wikipedia.org"	"Ukraine"	0.03
"Fijian"	"fj.wikipedia.org"	"United States"	0.55
"Fijian"	"fj.wikipedia.org"	"Other"	0.08
"Fijian"	"fj.wiktionary.org"	"Belgium"	0.01
"Fijian"	"fj.wiktionary.org"	"Canada"	0.07
"Fijian"	"fj.wiktionary.org"	"China"	0.04
"Fijian"	"fj.wiktionary.org"	"France"	0.02
"Fijian"	"fj.wiktionary.org"	"Germany"	0.05
"Fijian"	"fj.wiktionary.org"	"India"	0.01
"Fijian"	"fj.wiktionary.org"	"Indonesia"	0.01
"Fijian"	"fj.wiktionary.org"	"Iraq"	0.01
"Fijian"	"fj.wiktionary.org"	"Japan"	0.01
"Fijian"	"fj.wiktionary.org"	"Mexico"	0.01
"Fijian"	"fj.wiktionary.org"	"Netherlands"	0.01
"Fijian"	"fj.wiktionary.org"	"Republic of Korea"	0.13
"Fijian"	"fj.wiktionary.org"	"Republic of Lithuania"	0.01
"Fijian"	"fj.wiktionary.org"	"Russia"	0.03
"Fijian"	"fj.wiktionary.org"	"Réunion"	0.01
"Fijian"	"fj.wiktionary.org"	"Sweden"	0.01
"Fijian"	"fj.wiktionary.org"	"Thailand"	0.02
"Fijian"	"fj.wiktionary.org"	"Turkey"	0.01
"Fijian"	"fj.wiktionary.org"	"Ukraine"	0.01
"Fijian"	"fj.wiktionary.org"	"United Kingdom"	0.01
"Fijian"	"fj.wiktionary.org"	"United States"	0.42
"Fijian"	"fj.wiktionary.org"	"Vietnam"	0.09
"Faroese"	"fo.wikipedia.org"	"Canada"	0.02
"Faroese"	"fo.wikipedia.org"	"China"	0.07
"Faroese"	"fo.wikipedia.org"	"Denmark"	0.02
"Faroese"	"fo.wikipedia.org"	"Faroe Islands"	0.08
"Faroese"	"fo.wikipedia.org"	"France"	0.03
"Faroese"	"fo.wikipedia.org"	"Germany"	0.09
"Faroese"	"fo.wikipedia.org"	"Iceland"	0.01
"Faroese"	"fo.wikipedia.org"	"India"	0.01
"Faroese"	"fo.wikipedia.org"	"Italy"	0.01
"Faroese"	"fo.wikipedia.org"	"Japan"	0.01
"Faroese"	"fo.wikipedia.org"	"Mexico"	0.02
"Faroese"	"fo.wikipedia.org"	"Netherlands"	0.03
"Faroese"	"fo.wikipedia.org"	"Norway"	0.01
"Faroese"	"fo.wikipedia.org"	"Poland"	0.05
"Faroese"	"fo.wikipedia.org"	"Republic of Korea"	0.01
"Faroese"	"fo.wikipedia.org"	"Republic of Lithuania"	0.01
"Faroese"	"fo.wikipedia.org"	"Romania"	0.01
"Faroese"	"fo.wikipedia.org"	"Russia"	0.03
"Faroese"	"fo.wikipedia.org"	"Singapore"	0.01
"Faroese"	"fo.wikipedia.org"	"Spain"	0.01
"Faroese"	"fo.wikipedia.org"	"Sweden"	0.01
"Faroese"	"fo.wikipedia.org"	"Ukraine"	0.01
"Faroese"	"fo.wikipedia.org"	"United Kingdom"	0.01
"Faroese"	"fo.wikipedia.org"	"United States"	0.38
"Faroese"	"fo.wikipedia.org"	"Vietnam"	0.01
"Faroese"	"fo.wikipedia.org"	"Other"	0.07
"Faroese"	"fo.wikisource.org"	"Austria"	0.01
"Faroese"	"fo.wikisource.org"	"Canada"	0.18
"Faroese"	"fo.wikisource.org"	"China"	0.03
"Faroese"	"fo.wikisource.org"	"Denmark"	0.01
"Faroese"	"fo.wikisource.org"	"Faroe Islands"	0.06
"Faroese"	"fo.wikisource.org"	"France"	0.01
"Faroese"	"fo.wikisource.org"	"Germany"	0.01
"Faroese"	"fo.wikisource.org"	"Italy"	0.01
"Faroese"	"fo.wikisource.org"	"Luxembourg"	0.01
"Faroese"	"fo.wikisource.org"	"Russia"	0.03
"Faroese"	"fo.wikisource.org"	"United Kingdom"	0.01
"Faroese"	"fo.wikisource.org"	"United States"	0.61
"Faroese"	"fo.wiktionary.org"	"Algeria"	0.01
"Faroese"	"fo.wiktionary.org"	"Bulgaria"	0.01
"Faroese"	"fo.wiktionary.org"	"Canada"	0.14
"Faroese"	"fo.wiktionary.org"	"China"	0.14
"Faroese"	"fo.wiktionary.org"	"Denmark"	0.01
"Faroese"	"fo.wiktionary.org"	"Egypt"	0.01
"Faroese"	"fo.wiktionary.org"	"Finland"	0.01
"Faroese"	"fo.wiktionary.org"	"France"	0.05
"Faroese"	"fo.wiktionary.org"	"Germany"	0.04
"Faroese"	"fo.wiktionary.org"	"Italy"	0.01
"Faroese"	"fo.wiktionary.org"	"Myanmar [Burma]"	0.01
"Faroese"	"fo.wiktionary.org"	"Netherlands"	0.07
"Faroese"	"fo.wiktionary.org"	"Norway"	0.01
"Faroese"	"fo.wiktionary.org"	"Republic of Korea"	0.02
"Faroese"	"fo.wiktionary.org"	"Russia"	0.01
"Faroese"	"fo.wiktionary.org"	"Réunion"	0.01
"Faroese"	"fo.wiktionary.org"	"Sweden"	0.02
"Faroese"	"fo.wiktionary.org"	"Thailand"	0.05
"Faroese"	"fo.wiktionary.org"	"Ukraine"	0.01
"Faroese"	"fo.wiktionary.org"	"United States"	0.38
"Faroese"	"fo.wiktionary.org"	"Vietnam"	0.02
"French"	"fr.wikibooks.org"	"Algeria"	0.04
"French"	"fr.wikibooks.org"	"Belgium"	0.04
"French"	"fr.wikibooks.org"	"Benin"	0.01
"French"	"fr.wikibooks.org"	"Cameroon"	0.01
"French"	"fr.wikibooks.org"	"Canada"	0.04
"French"	"fr.wikibooks.org"	"China"	0.02
"French"	"fr.wikibooks.org"	"Congo"	0.01
"French"	"fr.wikibooks.org"	"France"	0.49
"French"	"fr.wikibooks.org"	"Germany"	0.01
"French"	"fr.wikibooks.org"	"Ivory Coast"	0.01
"French"	"fr.wikibooks.org"	"Madagascar"	0.01
"French"	"fr.wikibooks.org"	"Morocco"	0.05
"French"	"fr.wikibooks.org"	"Senegal"	0.01
"French"	"fr.wikibooks.org"	"Switzerland"	0.02
"French"	"fr.wikibooks.org"	"Togo"	0.01
"French"	"fr.wikibooks.org"	"Tunisia"	0.02
"French"	"fr.wikibooks.org"	"Ukraine"	0.02
"French"	"fr.wikibooks.org"	"United Kingdom"	0.01
"French"	"fr.wikibooks.org"	"United States"	0.06
"French"	"fr.wikibooks.org"	"Vietnam"	0.01
"French"	"fr.wikibooks.org"	"Other"	0.08
"French"	"fr.wikinews.org"	"Algeria"	0.01
"French"	"fr.wikinews.org"	"Belgium"	0.01
"French"	"fr.wikinews.org"	"Benin"	0.01
"French"	"fr.wikinews.org"	"Canada"	0.06
"French"	"fr.wikinews.org"	"China"	0.05
"French"	"fr.wikinews.org"	"Congo"	0.01
"French"	"fr.wikinews.org"	"France"	0.34
"French"	"fr.wikinews.org"	"Germany"	0.04
"French"	"fr.wikinews.org"	"Guinea"	0.01
"French"	"fr.wikinews.org"	"Ireland"	0.01
"French"	"fr.wikinews.org"	"Madagascar"	0.01
"French"	"fr.wikinews.org"	"Morocco"	0.01
"French"	"fr.wikinews.org"	"Netherlands"	0.02
"French"	"fr.wikinews.org"	"Poland"	0.01
"French"	"fr.wikinews.org"	"Russia"	0.01
"French"	"fr.wikinews.org"	"Switzerland"	0.01
"French"	"fr.wikinews.org"	"Thailand"	0.01
"French"	"fr.wikinews.org"	"Ukraine"	0.01
"French"	"fr.wikinews.org"	"United Kingdom"	0.01
"French"	"fr.wikinews.org"	"United States"	0.23
"French"	"fr.wikinews.org"	"Vietnam"	0.04
"French"	"fr.wikinews.org"	"Other"	0.08
"French"	"fr.wikipedia.org"	"France"	0.67
"French"	"fr.wikipedia.org"	"Germany"	0.01
"French"	"fr.wikipedia.org"	"Netherlands"	0.01
"French"	"fr.wikipedia.org"	"Algeria"	0.02
"French"	"fr.wikipedia.org"	"Belgium"	0.05
"French"	"fr.wikipedia.org"	"Canada"	0.06
"French"	"fr.wikipedia.org"	"China"	0.01
"French"	"fr.wikipedia.org"	"Morocco"	0.02
"French"	"fr.wikipedia.org"	"Sweden"	0.01
"French"	"fr.wikipedia.org"	"Switzerland"	0.03
"French"	"fr.wikipedia.org"	"Tunisia"	0.01
"French"	"fr.wikipedia.org"	"United Kingdom"	0.01
"French"	"fr.wikipedia.org"	"United States"	0.02
"French"	"fr.wikipedia.org"	"Other"	0.08
"French"	"fr.wikiquote.org"	"Algeria"	0.01
"French"	"fr.wikiquote.org"	"Belgium"	0.04
"French"	"fr.wikiquote.org"	"Canada"	0.05
"French"	"fr.wikiquote.org"	"China"	0.03
"French"	"fr.wikiquote.org"	"France"	0.54
"French"	"fr.wikiquote.org"	"Germany"	0.04
"French"	"fr.wikiquote.org"	"Italy"	0.01
"French"	"fr.wikiquote.org"	"Ivory Coast"	0.01
"French"	"fr.wikiquote.org"	"Morocco"	0.02
"French"	"fr.wikiquote.org"	"Russia"	0.01
"French"	"fr.wikiquote.org"	"Senegal"	0.01
"French"	"fr.wikiquote.org"	"Switzerland"	0.02
"French"	"fr.wikiquote.org"	"Tunisia"	0.01
"French"	"fr.wikiquote.org"	"Ukraine"	0.01
"French"	"fr.wikiquote.org"	"United Kingdom"	0.01
"French"	"fr.wikiquote.org"	"United States"	0.09
"French"	"fr.wikiquote.org"	"Vietnam"	0.03
"French"	"fr.wikiquote.org"	"Other"	0.09
"French"	"fr.wikisource.org"	"Algeria"	0.01
"French"	"fr.wikisource.org"	"Belgium"	0.03
"French"	"fr.wikisource.org"	"Canada"	0.04
"French"	"fr.wikisource.org"	"China"	0.02
"French"	"fr.wikisource.org"	"France"	0.54
"French"	"fr.wikisource.org"	"Germany"	0.06
"French"	"fr.wikisource.org"	"Italy"	0.01
"French"	"fr.wikisource.org"	"Japan"	0.01
"French"	"fr.wikisource.org"	"Morocco"	0.02
"French"	"fr.wikisource.org"	"Poland"	0.01
"French"	"fr.wikisource.org"	"Republic of Korea"	0.01
"French"	"fr.wikisource.org"	"Russia"	0.01
"French"	"fr.wikisource.org"	"Spain"	0.01
"French"	"fr.wikisource.org"	"Switzerland"	0.02
"French"	"fr.wikisource.org"	"Tunisia"	0.01
"French"	"fr.wikisource.org"	"Ukraine"	0.01
"French"	"fr.wikisource.org"	"United Kingdom"	0.02
"French"	"fr.wikisource.org"	"United States"	0.07
"French"	"fr.wikisource.org"	"Other"	0.1
"French"	"fr.wikiversity.org"	"Algeria"	0.05
"French"	"fr.wikiversity.org"	"Belgium"	0.03
"French"	"fr.wikiversity.org"	"Benin"	0.01
"French"	"fr.wikiversity.org"	"Cameroon"	0.01
"French"	"fr.wikiversity.org"	"Canada"	0.04
"French"	"fr.wikiversity.org"	"China"	0.03
"French"	"fr.wikiversity.org"	"Congo"	0.01
"French"	"fr.wikiversity.org"	"France"	0.49
"French"	"fr.wikiversity.org"	"Germany"	0.01
"French"	"fr.wikiversity.org"	"Ivory Coast"	0.01
"French"	"fr.wikiversity.org"	"Madagascar"	0.01
"French"	"fr.wikiversity.org"	"Morocco"	0.05
"French"	"fr.wikiversity.org"	"Senegal"	0.01
"French"	"fr.wikiversity.org"	"Switzerland"	0.01
"French"	"fr.wikiversity.org"	"Tunisia"	0.03
"French"	"fr.wikiversity.org"	"Ukraine"	0.01
"French"	"fr.wikiversity.org"	"United States"	0.08
"French"	"fr.wikiversity.org"	"Vietnam"	0.01
"French"	"fr.wikiversity.org"	"Other"	0.09
"French"	"fr.wikivoyage.org"	"Algeria"	0.01
"French"	"fr.wikivoyage.org"	"Belgium"	0.03
"French"	"fr.wikivoyage.org"	"Canada"	0.05
"French"	"fr.wikivoyage.org"	"China"	0.12
"French"	"fr.wikivoyage.org"	"Czech Republic"	0.01
"French"	"fr.wikivoyage.org"	"France"	0.24
"French"	"fr.wikivoyage.org"	"Germany"	0.02
"French"	"fr.wikivoyage.org"	"Morocco"	0.02
"French"	"fr.wikivoyage.org"	"Netherlands"	0.01
"French"	"fr.wikivoyage.org"	"Poland"	0.02
"French"	"fr.wikivoyage.org"	"Romania"	0.01
"French"	"fr.wikivoyage.org"	"Russia"	0.02
"French"	"fr.wikivoyage.org"	"Slovakia"	0.01
"French"	"fr.wikivoyage.org"	"Sweden"	0.01
"French"	"fr.wikivoyage.org"	"Switzerland"	0.01
"French"	"fr.wikivoyage.org"	"Ukraine"	0.03
"French"	"fr.wikivoyage.org"	"United Kingdom"	0.02
"French"	"fr.wikivoyage.org"	"United States"	0.26
"French"	"fr.wikivoyage.org"	"Vietnam"	0.01
"French"	"fr.wikivoyage.org"	"Other"	0.09
"French"	"fr.wiktionary.org"	"Algeria"	0.02
"French"	"fr.wiktionary.org"	"Belgium"	0.04
"French"	"fr.wiktionary.org"	"Canada"	0.06
"French"	"fr.wiktionary.org"	"China"	0.01
"French"	"fr.wiktionary.org"	"France"	0.62
"French"	"fr.wiktionary.org"	"Germany"	0.01
"French"	"fr.wiktionary.org"	"Israel"	0.01
"French"	"fr.wiktionary.org"	"Morocco"	0.02
"French"	"fr.wiktionary.org"	"Republic of Korea"	0.01
"French"	"fr.wiktionary.org"	"Réunion"	0.01
"French"	"fr.wiktionary.org"	"Spain"	0.01
"French"	"fr.wiktionary.org"	"Switzerland"	0.04
"French"	"fr.wiktionary.org"	"Tunisia"	0.01
"French"	"fr.wiktionary.org"	"United Kingdom"	0.01
"French"	"fr.wiktionary.org"	"United States"	0.05
"French"	"fr.wiktionary.org"	"Other"	0.09
"Franco-Provençal"	"frp.wikipedia.org"	"Canada"	0.02
"Franco-Provençal"	"frp.wikipedia.org"	"China"	0.57
"Franco-Provençal"	"frp.wikipedia.org"	"France"	0.03
"Franco-Provençal"	"frp.wikipedia.org"	"Germany"	0.03
"Franco-Provençal"	"frp.wikipedia.org"	"Italy"	0.01
"Franco-Provençal"	"frp.wikipedia.org"	"Mexico"	0.01
"Franco-Provençal"	"frp.wikipedia.org"	"Netherlands"	0.01
"Franco-Provençal"	"frp.wikipedia.org"	"Poland"	0.02
"Franco-Provençal"	"frp.wikipedia.org"	"Republic of Lithuania"	0.01
"Franco-Provençal"	"frp.wikipedia.org"	"Romania"	0.02
"Franco-Provençal"	"frp.wikipedia.org"	"Russia"	0.01
"Franco-Provençal"	"frp.wikipedia.org"	"United Kingdom"	0.01
"Franco-Provençal"	"frp.wikipedia.org"	"United States"	0.2
"Franco-Provençal"	"frp.wikipedia.org"	"Other"	0.07
"Northern Frisian"	"frr.wikipedia.org"	"Brazil"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Canada"	0.03
"Northern Frisian"	"frr.wikipedia.org"	"China"	0.04
"Northern Frisian"	"frr.wikipedia.org"	"France"	0.04
"Northern Frisian"	"frr.wikipedia.org"	"Germany"	0.11
"Northern Frisian"	"frr.wikipedia.org"	"Italy"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Japan"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Mexico"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Morocco"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Netherlands"	0.02
"Northern Frisian"	"frr.wikipedia.org"	"Norway"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Poland"	0.03
"Northern Frisian"	"frr.wikipedia.org"	"Republic of Korea"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Republic of Lithuania"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Romania"	0.09
"Northern Frisian"	"frr.wikipedia.org"	"Russia"	0.02
"Northern Frisian"	"frr.wikipedia.org"	"Spain"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"Sweden"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"United Kingdom"	0.01
"Northern Frisian"	"frr.wikipedia.org"	"United States"	0.45
"Northern Frisian"	"frr.wikipedia.org"	"Other"	0.08
"Friulian"	"fur.wikipedia.org"	"Canada"	0.03
"Friulian"	"fur.wikipedia.org"	"China"	0.38
"Friulian"	"fur.wikipedia.org"	"France"	0.02
"Friulian"	"fur.wikipedia.org"	"Germany"	0.03
"Friulian"	"fur.wikipedia.org"	"Italy"	0.04
"Friulian"	"fur.wikipedia.org"	"Mexico"	0.01
"Friulian"	"fur.wikipedia.org"	"Netherlands"	0.01
"Friulian"	"fur.wikipedia.org"	"Poland"	0.02
"Friulian"	"fur.wikipedia.org"	"Republic of Korea"	0.01
"Friulian"	"fur.wikipedia.org"	"Republic of Lithuania"	0.01
"Friulian"	"fur.wikipedia.org"	"Romania"	0.07
"Friulian"	"fur.wikipedia.org"	"Russia"	0.01
"Friulian"	"fur.wikipedia.org"	"Singapore"	0.01
"Friulian"	"fur.wikipedia.org"	"Sweden"	0.01
"Friulian"	"fur.wikipedia.org"	"Ukraine"	0.02
"Friulian"	"fur.wikipedia.org"	"United Kingdom"	0.01
"Friulian"	"fur.wikipedia.org"	"United States"	0.25
"Friulian"	"fur.wikipedia.org"	"Other"	0.07
"Western Frisian"	"fy.wikibooks.org"	"Brazil"	0.01
"Western Frisian"	"fy.wikibooks.org"	"Canada"	0.12
"Western Frisian"	"fy.wikibooks.org"	"China"	0.04
"Western Frisian"	"fy.wikibooks.org"	"Germany"	0.02
"Western Frisian"	"fy.wikibooks.org"	"Israel"	0.01
"Western Frisian"	"fy.wikibooks.org"	"Russia"	0.03
"Western Frisian"	"fy.wikibooks.org"	"Singapore"	0.01
"Western Frisian"	"fy.wikibooks.org"	"Switzerland"	0.01
"Western Frisian"	"fy.wikibooks.org"	"Turkey"	0.01
"Western Frisian"	"fy.wikibooks.org"	"United States"	0.38
"Western Frisian"	"fy.wikibooks.org"	"Vietnam"	0.37
"Western Frisian"	"fy.wikipedia.org"	"Canada"	0.01
"Western Frisian"	"fy.wikipedia.org"	"China"	0.05
"Western Frisian"	"fy.wikipedia.org"	"France"	0.02
"Western Frisian"	"fy.wikipedia.org"	"Germany"	0.07
"Western Frisian"	"fy.wikipedia.org"	"India"	0.01
"Western Frisian"	"fy.wikipedia.org"	"Italy"	0.01
"Western Frisian"	"fy.wikipedia.org"	"Japan"	0.02
"Western Frisian"	"fy.wikipedia.org"	"Mexico"	0.01
"Western Frisian"	"fy.wikipedia.org"	"Netherlands"	0.1
"Western Frisian"	"fy.wikipedia.org"	"Poland"	0.05
"Western Frisian"	"fy.wikipedia.org"	"Republic of Korea"	0.01
"Western Frisian"	"fy.wikipedia.org"	"Romania"	0.04
"Western Frisian"	"fy.wikipedia.org"	"Russia"	0.02
"Western Frisian"	"fy.wikipedia.org"	"United Kingdom"	0.01
"Western Frisian"	"fy.wikipedia.org"	"United States"	0.49
"Western Frisian"	"fy.wikipedia.org"	"Other"	0.08
"Western Frisian"	"fy.wiktionary.org"	"Canada"	0.04
"Western Frisian"	"fy.wiktionary.org"	"China"	0.15
"Western Frisian"	"fy.wiktionary.org"	"France"	0.03
"Western Frisian"	"fy.wiktionary.org"	"Germany"	0.01
"Western Frisian"	"fy.wiktionary.org"	"Netherlands"	0.09
"Western Frisian"	"fy.wiktionary.org"	"Poland"	0.02
"Western Frisian"	"fy.wiktionary.org"	"Republic of Korea"	0.05
"Western Frisian"	"fy.wiktionary.org"	"Russia"	0.02
"Western Frisian"	"fy.wiktionary.org"	"Réunion"	0.01
"Western Frisian"	"fy.wiktionary.org"	"Sweden"	0.02
"Western Frisian"	"fy.wiktionary.org"	"Thailand"	0.02
"Western Frisian"	"fy.wiktionary.org"	"Ukraine"	0.01
"Western Frisian"	"fy.wiktionary.org"	"United Kingdom"	0.01
"Western Frisian"	"fy.wiktionary.org"	"United States"	0.44
"Western Frisian"	"fy.wiktionary.org"	"Vietnam"	0.05
"Western Frisian"	"fy.wiktionary.org"	"Other"	0.03
"Irish"	"ga.wikibooks.org"	"Canada"	0.19
"Irish"	"ga.wikibooks.org"	"Russia"	0.06
"Irish"	"ga.wikibooks.org"	"United States"	0.41
"Irish"	"ga.wikibooks.org"	"Vietnam"	0.34
"Irish"	"ga.wikipedia.org"	"Australia"	0.01
"Irish"	"ga.wikipedia.org"	"Brazil"	0.01
"Irish"	"ga.wikipedia.org"	"Canada"	0.02
"Irish"	"ga.wikipedia.org"	"China"	0.17
"Irish"	"ga.wikipedia.org"	"Egypt"	0.01
"Irish"	"ga.wikipedia.org"	"France"	0.03
"Irish"	"ga.wikipedia.org"	"Germany"	0.05
"Irish"	"ga.wikipedia.org"	"Ireland"	0.07
"Irish"	"ga.wikipedia.org"	"Italy"	0.01
"Irish"	"ga.wikipedia.org"	"Japan"	0.01
"Irish"	"ga.wikipedia.org"	"Mexico"	0.01
"Irish"	"ga.wikipedia.org"	"Netherlands"	0.02
"Irish"	"ga.wikipedia.org"	"Poland"	0.01
"Irish"	"ga.wikipedia.org"	"Republic of Korea"	0.01
"Irish"	"ga.wikipedia.org"	"Republic of Lithuania"	0.01
"Irish"	"ga.wikipedia.org"	"Romania"	0.04
"Irish"	"ga.wikipedia.org"	"Russia"	0.01
"Irish"	"ga.wikipedia.org"	"Spain"	0.01
"Irish"	"ga.wikipedia.org"	"United Kingdom"	0.02
"Irish"	"ga.wikipedia.org"	"United States"	0.4
"Irish"	"ga.wikipedia.org"	"Other"	0.08
"Irish"	"ga.wikiquote.org"	"Canada"	0.15
"Irish"	"ga.wikiquote.org"	"China"	0.02
"Irish"	"ga.wikiquote.org"	"France"	0.02
"Irish"	"ga.wikiquote.org"	"Poland"	0.02
"Irish"	"ga.wikiquote.org"	"Russia"	0.05
"Irish"	"ga.wikiquote.org"	"Sweden"	0.02
"Irish"	"ga.wikiquote.org"	"United States"	0.42
"Irish"	"ga.wikiquote.org"	"Vietnam"	0.32
"Irish"	"ga.wiktionary.org"	"Canada"	0.05
"Irish"	"ga.wiktionary.org"	"China"	0.12
"Irish"	"ga.wiktionary.org"	"France"	0.02
"Irish"	"ga.wiktionary.org"	"Germany"	0.03
"Irish"	"ga.wiktionary.org"	"Ireland"	0.02
"Irish"	"ga.wiktionary.org"	"Italy"	0.01
"Irish"	"ga.wiktionary.org"	"Netherlands"	0.32
"Irish"	"ga.wiktionary.org"	"Poland"	0.01
"Irish"	"ga.wiktionary.org"	"Republic of Korea"	0.01
"Irish"	"ga.wiktionary.org"	"Russia"	0.01
"Irish"	"ga.wiktionary.org"	"United Kingdom"	0.02
"Irish"	"ga.wiktionary.org"	"United States"	0.3
"Irish"	"ga.wiktionary.org"	"Vietnam"	0.06
"Irish"	"ga.wiktionary.org"	"Other"	0.02
"Gagauz"	"gag.wikipedia.org"	"Azerbaijan"	0.01
"Gagauz"	"gag.wikipedia.org"	"Canada"	0.03
"Gagauz"	"gag.wikipedia.org"	"China"	0.04
"Gagauz"	"gag.wikipedia.org"	"France"	0.03
